,user.id,remote.user.id.if.known,date
0,58,70,2007-09-05
1,5,30,2008-01-09
2,5,42,2008-01-09
3,5,47,2008-01-09
4,35,51,2008-01-21
5,35,60,2008-01-21
6,68,2,2008-01-23
7,68,15,2008-01-23
8,68,60,2008-01-23
9,16,11,2008-01-23
10,34,28,2008-01-29
11,34,42,2008-01-30
12,28,14,2008-01-30
13,28,34,2008-01-30
14,28,47,2008-01-30
15,28,5,2008-01-30
16,28,69,2008-01-30
17,28,59,2008-01-30
18,28,8,2008-01-30
19,28,57,2008-01-30
20,18,48,2008-01-31
21,29,69,2008-02-01
22,29,32,2008-02-01
23,47,28,2008-02-03
24,47,5,2008-02-03
25,47,36,2008-02-03
26,47,30,2008-02-03
27,47,55,2008-02-03
28,47,34,2008-02-03
29,47,59,2008-02-03
30,47,20,2008-02-03
31,47,42,2008-02-03
32,47,66,2008-02-03
33,47,14,2008-02-03
34,69,15,2008-04-01
35,69,35,2008-04-01
36,69,32,2008-04-01
37,69,15,2008-04-02
38,69,35,2008-04-02
39,69,15,2008-04-16
40,69,35,2008-04-16
41,69,72,2008-04-16
42,69,65,2008-04-16
43,69,79,2008-04-16
44,69,18,2008-04-16
45,69,32,2008-04-16
46,69,32,2008-04-17
47,69,72,2008-04-17
48,69,79,2008-04-17
49,69,35,2008-04-17
50,69,15,2008-04-17
51,69,29,2008-04-17
52,69,67,2008-04-17
53,69,19,2008-04-17
54,22,32,2008-07-09
55,15,60,2008-07-23
56,36,5,2008-08-22
57,36,47,2008-08-22
58,36,69,2008-08-22
59,36,30,2008-08-22
60,36,46,2008-08-22
61,71,62,2008-09-08
62,71,72,2008-09-08
63,70,1,2008-09-21
64,70,44,2008-09-21
65,70,6,2008-09-21
66,70,57,2008-09-21
67,70,61,2008-09-21
68,24,57,2008-09-27
69,24,57,2008-09-29
70,1,14,2008-10-01
71,1,27,2008-10-01
72,1,70,2008-10-01
73,61,14,2008-10-01
74,61,27,2008-10-01
75,61,70,2008-10-01
76,1,71,2008-10-01
77,61,5,2008-10-01
78,24,57,2008-10-02
79,69,60,2008-10-02
80,69,32,2008-10-02
81,69,29,2008-10-02
82,69,65,2008-10-02
83,69,67,2008-10-02
84,69,19,2008-10-02
85,27,70,2008-10-02
86,27,1,2008-10-02
87,30,5,2008-10-02
88,30,36,2008-10-02
89,65,47,2008-10-02
90,65,60,2008-10-02
91,65,69,2008-10-02
92,59,30,2008-10-02
93,59,47,2008-10-02
94,64,47,2008-10-02
95,64,69,2008-10-02
96,67,32,2008-10-02
97,67,65,2008-10-02
98,67,69,2008-10-02
99,66,65,2008-10-02
100,42,20,2008-10-02
101,62,65,2008-10-02
102,62,66,2008-10-02
103,62,67,2008-10-02
104,6,5,2008-10-02
105,6,20,2008-10-02
106,6,42,2008-10-02
107,49,8,2008-10-02
108,1,6,2008-10-02
109,61,8,2008-10-02
110,65,62,2008-10-02
111,42,5,2008-10-02
112,42,6,2008-10-02
113,42,36,2008-10-02
114,42,47,2008-10-02
115,29,32,2008-10-02
116,29,69,2008-10-02
117,20,5,2008-10-02
118,20,6,2008-10-02
119,20,28,2008-10-02
120,20,30,2008-10-02
121,20,36,2008-10-02
122,20,42,2008-10-02
123,20,47,2008-10-02
124,14,61,2008-10-02
125,5,30,2008-10-02
126,5,42,2008-10-02
127,5,47,2008-10-02
128,29,19,2008-10-02
129,8,19,2008-10-02
130,8,28,2008-10-02
131,14,47,2008-10-02
132,70,6,2008-10-02
133,70,44,2008-10-02
134,18,6,2008-10-02
135,18,19,2008-10-02
136,18,65,2008-10-02
137,18,67,2008-10-02
138,62,6,2008-10-02
139,62,44,2008-10-02
140,62,49,2008-10-02
141,30,20,2008-10-02
142,18,32,2008-10-02
143,8,5,2008-10-02
144,20,14,2008-10-02
145,5,36,2008-10-02
146,61,57,2008-10-02
147,19,6,2008-10-02
148,5,46,2008-10-02
149,20,46,2008-10-02
150,14,46,2008-10-02
151,14,1,2008-10-02
152,6,36,2008-10-02
153,6,71,2008-10-02
154,19,72,2008-10-02
155,67,72,2008-10-02
156,42,30,2008-10-02
157,59,36,2008-10-02
158,59,71,2008-10-02
159,59,46,2008-10-02
160,42,59,2008-10-02
161,8,59,2008-10-02
162,70,57,2008-10-02
163,6,72,2008-10-02
164,18,72,2008-10-02
165,6,72,2008-10-03
166,18,6,2008-10-03
167,70,57,2008-10-03
168,18,72,2008-10-03
169,30,20,2008-10-03
170,30,42,2008-10-03
171,62,6,2008-10-03
172,19,6,2008-10-03
173,8,59,2008-10-03
174,19,72,2008-10-03
175,42,59,2008-10-03
176,62,44,2008-10-03
177,42,20,2008-10-03
